day,day_of_week,weekend,half_month,holiday,负荷
1,1,False,1,1,2804.9741239999616
1,3,False,1,2,4241.474365999952
1,6,True,1,2,4492.914558000017
2,0,False,1,2,4843.2827439999855
2,2,False,1,1,3680.050843999996
2,4,False,1,2,4452.60016199992
3,1,False,1,2,4875.074299999947
3,3,False,1,1,3901.887189999994
3,5,True,1,2,4505.4488199999605
4,2,False,1,2,4999.165571999937
4,4,False,1,1,4164.823165999977
4,6,True,1,2,4481.479639999925
5,0,False,1,2,4848.61856599993
5,3,False,1,2,5060.983953999952
5,5,True,1,1,4296.045673999933
6,1,False,1,2,4886.449251999903
6,4,False,1,2,4975.379957999937
6,6,True,1,1,4586.343899999933
7,0,False,1,1,4877.451131999938
7,2,False,1,2,4910.848343999922
7,5,True,1,2,5040.870256000024
8,1,False,1,2,4931.195843999977
8,3,False,1,2,4914.110057999978
8,6,True,1,2,4821.16126199998
9,0,False,1,2,5038.822093999951
9,2,False,1,2,4966.021253999948
9,4,False,1,2,4916.381445999975
10,1,False,1,2,5050.775663999942
10,3,False,1,2,4957.98919799996
10,5,True,1,2,4936.952547999944
11,2,False,1,2,5063.246469999963
11,4,False,1,2,4898.192355999955
11,6,True,1,2,4660.952955999942
12,0,False,1,2,4943.153481999952
12,3,False,1,2,4903.7723019999685
12,5,True,1,2,4881.3480359999785
13,1,False,1,2,5019.7125919999235
13,4,False,1,1,4167.252507999966
13,6,True,1,2,4628.718907999978
14,0,False,1,2,4657.876457999972
14,2,False,1,2,4938.722553999943
14,5,True,1,1,4190.758053999982
15,1,False,2,2,4833.376147999936
15,3,False,2,2,4733.892546000014
15,6,True,2,1,4777.002765999961
16,0,False,2,2,4991.890570000009
16,2,False,2,2,4698.050483999981
16,4,False,2,2,4847.630511999955
17,1,False,2,2,5024.983699999956
17,3,False,2,2,4763.99673799991
17,5,True,2,2,4827.904939999951
18,2,False,2,2,5006.369181999959
18,4,False,2,2,4804.404951999961
18,6,True,2,2,4589.143599999968
19,0,False,2,2,4866.359019999971
19,3,False,2,2,4784.387571999982
19,5,True,2,2,4706.072195999961
20,1,False,2,2,4946.406509999932
20,4,False,2,2,4616.306101999965
20,6,True,2,2,4525.771703999925
21,0,False,2,2,4611.970145999981
21,2,False,2,2,4995.513189999967
21,5,True,2,2,4812.352773999942
22,1,False,2,2,4669.574620000004
22,3,False,2,2,4958.188919999968
22,6,True,2,2,4448.276269999981
23,0,False,2,2,4655.645725999952
23,2,False,2,2,4687.784029999959
23,4,False,2,2,4945.305601999973
24,1,False,2,2,4731.295685999979
24,3,False,2,2,4644.963779999994
24,5,True,2,2,4762.681945999994
25,2,False,2,2,4851.064039999992
25,4,False,2,2,4569.283671999969
25,6,True,2,2,4698.102793999959
26,0,False,2,2,4770.099905999921
26,3,False,2,2,4871.753509999981
26,5,True,2,2,4547.992053999958
27,1,False,2,2,4932.496697999946
27,4,False,2,2,4888.789995999994
27,6,True,2,2,4409.600369999973
28,0,False,2,2,4545.038012000001
28,2,False,2,2,4986.057343999945
28,5,True,2,2,4733.489019999978
29,1,False,2,2,4649.7273219999615
29,3,False,2,2,4969.254903999924
29,6,True,2,2,4497.167290000001
30,0,False,2,2,4383.797449999957
30,2,False,2,2,4676.905874000001
30,4,False,2,2,4862.024993999976
31,3,False,2,2,4426.367848000025
31,5,True,2,2,4653.592435999976
